timeraw,date,change,elo,rank
1679965835,"Tuesday, March 28, 2023 3:10 AM",-21,1079,"Gold 2"
1679967071,"Tuesday, March 28, 2023 3:31 AM",-21,1058,"Gold 2"
1679969297,"Tuesday, March 28, 2023 4:08 AM",16,1074,"Gold 2"
1680042829,"Wednesday, March 29, 2023 12:33 AM",-25,1049,"Gold 2"
1680044394,"Wednesday, March 29, 2023 12:59 AM",-13,1036,"Gold 2"
1680145373,"Thursday, March 30, 2023 5:02 AM",-8,1028,"Gold 2"
1680148226,"Thursday, March 30, 2023 5:50 AM",-20,1008,"Gold 2"
1680199386,"Thursday, March 30, 2023 8:03 PM",19,1027,"Gold 2"
1680202798,"Thursday, March 30, 2023 8:59 PM",-18,1009,"Gold 2"
1680204520,"Thursday, March 30, 2023 9:28 PM",14,1023,"Gold 2"
1680206775,"Thursday, March 30, 2023 10:06 PM",-18,1005,"Gold 2"
1680219598,"Friday, March 31, 2023 1:39 AM",-21,1000,"Gold 2"
1680403897,"Sunday, April 2, 2023 4:51 AM",32,1032,"Gold 2"
1680406138,"Sunday, April 2, 2023 5:28 AM",19,1051,"Gold 2"
1680408238,"Sunday, April 2, 2023 6:03 AM",17,1068,"Gold 2"
1680410110,"Sunday, April 2, 2023 6:35 AM",-23,1045,"Gold 2"
1680543126,"Monday, April 3, 2023 7:32 PM",14,1059,"Gold 2"
1680561195,"Tuesday, April 4, 2023 12:33 AM",-23,1036,"Gold 2"
1680574874,"Tuesday, April 4, 2023 4:21 AM",-18,1018,"Gold 2"
1680577948,"Tuesday, April 4, 2023 5:12 AM",17,1035,"Gold 2"
1680661492,"Wednesday, April 5, 2023 4:24 AM",23,1058,"Gold 2"
1680663243,"Wednesday, April 5, 2023 4:54 AM",22,1080,"Gold 2"
1680665689,"Wednesday, April 5, 2023 5:34 AM",-19,1061,"Gold 2"
1680745318,"Thursday, April 6, 2023 3:41 AM",19,1080,"Gold 2"
1680747906,"Thursday, April 6, 2023 4:25 AM",-23,1057,"Gold 2"
1680819364,"Friday, April 7, 2023 12:16 AM",23,1080,"Gold 2"
1680821450,"Friday, April 7, 2023 12:50 AM",14,1094,"Gold 2"
1680912466,"Saturday, April 8, 2023 2:07 AM",-18,1076,"Gold 2"
1680989651,"Saturday, April 8, 2023 11:34 PM",20,1096,"Gold 2"
1680992040,"Sunday, April 9, 2023 12:14 AM",-16,1080,"Gold 2"
1681098217,"Monday, April 10, 2023 5:43 AM",14,1094,"Gold 2"
1681100852,"Monday, April 10, 2023 6:27 AM",-22,1072,"Gold 2"
1681156676,"Monday, April 10, 2023 9:57 PM",15,1087,"Gold 2"
1681159526,"Monday, April 10, 2023 10:45 PM",20,1110,"Gold 3"
1681161582,"Monday, April 10, 2023 11:19 PM",-22,1100,"Gold 3"
1681250233,"Tuesday, April 11, 2023 11:57 PM",-22,1078,"Gold 2"
1681252041,"Wednesday, April 12, 2023 12:27 AM",-21,1057,"Gold 2"
1681369674,"Thursday, April 13, 2023 9:07 AM",12,1069,"Gold 2"
1681372020,"Thursday, April 13, 2023 9:46 AM",27,1096,"Gold 2"
1681373968,"Thursday, April 13, 2023 10:19 AM",13,1110,"Gold 3"
1681441099,"Friday, April 14, 2023 4:58 AM",-15,1100,"Gold 3"
1681595865,"Saturday, April 15, 2023 11:57 PM",-10,1090,"Gold 2"
1681599084,"Sunday, April 16, 2023 12:51 AM",17,1110,"Gold 3"
1681785681,"Tuesday, April 18, 2023 2:41 AM",-20,1100,"Gold 3"
1681885341,"Wednesday, April 19, 2023 6:22 AM",12,1112,"Gold 3"
1681887759,"Wednesday, April 19, 2023 7:02 AM",-23,1100,"Gold 3"
1681889661,"Wednesday, April 19, 2023 7:34 AM",-28,1072,"Gold 2"
1681959228,"Thursday, April 20, 2023 2:53 AM",10,1082,"Gold 2"
1681961839,"Thursday, April 20, 2023 3:37 AM",-12,1070,"Gold 2"
1682053018,"Friday, April 21, 2023 4:56 AM",-9,1061,"Gold 2"
1682055540,"Friday, April 21, 2023 5:39 AM",-23,1038,"Gold 2"
1682057014,"Friday, April 21, 2023 6:03 AM",-22,1016,"Gold 2"
1682094777,"Friday, April 21, 2023 4:32 PM",-23,1000,"Gold 2"
1682097104,"Friday, April 21, 2023 5:11 PM",13,1013,"Gold 2"
1682099343,"Friday, April 21, 2023 5:49 PM",-15,1000,"Gold 2"
1682190605,"Saturday, April 22, 2023 7:10 PM",10,1010,"Gold 2"
1682194323,"Saturday, April 22, 2023 8:12 PM",21,1031,"Gold 2"
1682195587,"Saturday, April 22, 2023 8:33 PM",-21,1010,"Gold 2"
1682197284,"Saturday, April 22, 2023 9:01 PM",22,1032,"Gold 2"
1682278257,"Sunday, April 23, 2023 7:30 PM",11,1043,"Gold 2"
1682454750,"Tuesday, April 25, 2023 8:32 PM",-30,1013,"Gold 2"
1682949110,"Monday, May 1, 2023 1:51 PM",26,1039,"Gold 2"
1682951180,"Monday, May 1, 2023 2:26 PM",18,1057,"Gold 2"
1682954284,"Monday, May 1, 2023 3:18 PM",20,1077,"Gold 2"
1682956039,"Monday, May 1, 2023 3:47 PM",-14,1063,"Gold 2"
1682959466,"Monday, May 1, 2023 4:44 PM",19,1082,"Gold 2"
1682963922,"Monday, May 1, 2023 5:58 PM",11,1093,"Gold 2"
1682968061,"Monday, May 1, 2023 7:07 PM",-25,1068,"Gold 2"
1682970729,"Monday, May 1, 2023 7:52 PM",-16,1052,"Gold 2"
1682972595,"Monday, May 1, 2023 8:23 PM",18,1070,"Gold 2"
1682975165,"Monday, May 1, 2023 9:06 PM",28,1098,"Gold 2"
1682978475,"Monday, May 1, 2023 10:01 PM",-21,1077,"Gold 2"
1683058948,"Tuesday, May 2, 2023 8:22 PM",11,1088,"Gold 2"
1683074300,"Wednesday, May 3, 2023 12:38 AM",13,1110,"Gold 3"
1683076820,"Wednesday, May 3, 2023 1:20 AM",19,1129,"Gold 3"
1683080959,"Wednesday, May 3, 2023 2:29 AM",-28,1101,"Gold 3"
1683166044,"Thursday, May 4, 2023 2:07 AM",21,1122,"Gold 3"
