timeraw,date,change,elo,rank
1679937486,"Monday, March 27, 2023 7:18 PM",26,910,"Gold 1"
1679939571,"Monday, March 27, 2023 7:52 PM",16,926,"Gold 1"
1680142805,"Thursday, March 30, 2023 4:20 AM",-15,911,"Gold 1"
1680145373,"Thursday, March 30, 2023 5:02 AM",-21,900,"Gold 1"
1680200416,"Thursday, March 30, 2023 8:20 PM",31,931,"Gold 1"
1680202798,"Thursday, March 30, 2023 8:59 PM",-24,907,"Gold 1"
1680663243,"Wednesday, April 5, 2023 4:54 AM",22,929,"Gold 1"
1680665689,"Wednesday, April 5, 2023 5:34 AM",-10,919,"Gold 1"
1680737223,"Thursday, April 6, 2023 1:27 AM",13,932,"Gold 1"
1680739754,"Thursday, April 6, 2023 2:09 AM",32,964,"Gold 1"
1680741766,"Thursday, April 6, 2023 2:42 AM",0,964,"Gold 1"
1680745318,"Thursday, April 6, 2023 3:41 AM",20,984,"Gold 1"
1680747906,"Thursday, April 6, 2023 4:25 AM",-16,968,"Gold 1"
1680819364,"Friday, April 7, 2023 12:16 AM",13,981,"Gold 1"
1680821450,"Friday, April 7, 2023 12:50 AM",24,1010,"Gold 2"
1680831429,"Friday, April 7, 2023 3:37 AM",-14,1000,"Gold 2"
1680834968,"Friday, April 7, 2023 4:36 AM",-13,987,"Gold 1"
1681303665,"Wednesday, April 12, 2023 12:47 PM",30,1017,"Gold 2"
1681305725,"Wednesday, April 12, 2023 1:22 PM",-23,1000,"Gold 2"
1681424684,"Thursday, April 13, 2023 10:24 PM",-11,989,"Gold 1"
1681428536,"Thursday, April 13, 2023 11:28 PM",-22,967,"Gold 1"
1681781751,"Tuesday, April 18, 2023 1:35 AM",-22,945,"Gold 1"
1682968061,"Monday, May 1, 2023 7:07 PM",-11,934,"Gold 1"
1682970729,"Monday, May 1, 2023 7:52 PM",-17,917,"Gold 1"
1682972508,"Monday, May 1, 2023 8:21 PM",-7,910,"Gold 1"
1683122056,"Wednesday, May 3, 2023 1:54 PM",-22,900,"Gold 1"
1683124408,"Wednesday, May 3, 2023 2:33 PM",34,934,"Gold 1"
1683126593,"Wednesday, May 3, 2023 3:09 PM",26,960,"Gold 1"
1683128240,"Wednesday, May 3, 2023 3:37 PM",12,972,"Gold 1"
1683496255,"Sunday, May 7, 2023 9:50 PM",16,988,"Gold 1"
1683498359,"Sunday, May 7, 2023 10:25 PM",-20,968,"Gold 1"
1683570212,"Monday, May 8, 2023 6:23 PM",-21,947,"Gold 1"
1683572713,"Monday, May 8, 2023 7:05 PM",-19,928,"Gold 1"
1683575988,"Monday, May 8, 2023 7:59 PM",30,958,"Gold 1"
1683577042,"Monday, May 8, 2023 8:17 PM",37,995,"Gold 1"
1683579196,"Monday, May 8, 2023 8:53 PM",-17,978,"Gold 1"
1683582369,"Monday, May 8, 2023 9:46 PM",-19,959,"Gold 1"
1683684163,"Wednesday, May 10, 2023 2:02 AM",-14,945,"Gold 1"
1683760193,"Wednesday, May 10, 2023 11:09 PM",-13,932,"Gold 1"
1683762828,"Wednesday, May 10, 2023 11:53 PM",-10,922,"Gold 1"
1683768451,"Thursday, May 11, 2023 1:27 AM",-17,905,"Gold 1"
1683824834,"Thursday, May 11, 2023 5:07 PM",34,939,"Gold 1"
1683826723,"Thursday, May 11, 2023 5:38 PM",-15,924,"Gold 1"
1683828867,"Thursday, May 11, 2023 6:14 PM",-19,905,"Gold 1"
1683902763,"Friday, May 12, 2023 2:46 PM",31,936,"Gold 1"
1683904657,"Friday, May 12, 2023 3:17 PM",20,956,"Gold 1"
1683989918,"Saturday, May 13, 2023 2:58 PM",-18,938,"Gold 1"
1683993638,"Saturday, May 13, 2023 4:00 PM",23,961,"Gold 1"
1683996042,"Saturday, May 13, 2023 4:40 PM",-8,953,"Gold 1"
1684380190,"Thursday, May 18, 2023 3:23 AM",23,976,"Gold 1"
1684428791,"Thursday, May 18, 2023 4:53 PM",25,1010,"Gold 2"
1684431742,"Thursday, May 18, 2023 5:42 PM",-24,1000,"Gold 2"
1684763475,"Monday, May 22, 2023 1:51 PM",24,1024,"Gold 2"
1684765233,"Monday, May 22, 2023 2:20 PM",23,1047,"Gold 2"
1684767400,"Monday, May 22, 2023 2:56 PM",-15,1032,"Gold 2"
1684774971,"Monday, May 22, 2023 5:02 PM",20,1052,"Gold 2"
1684779577,"Monday, May 22, 2023 6:19 PM",21,1073,"Gold 2"
1684857727,"Tuesday, May 23, 2023 4:02 PM",-19,1054,"Gold 2"
1684860074,"Tuesday, May 23, 2023 4:41 PM",-15,1039,"Gold 2"
1684937124,"Wednesday, May 24, 2023 2:05 PM",-18,1021,"Gold 2"
1684938160,"Wednesday, May 24, 2023 2:22 PM",17,1038,"Gold 2"
1684941129,"Wednesday, May 24, 2023 3:12 PM",13,1051,"Gold 2"
1684964541,"Wednesday, May 24, 2023 9:42 PM",24,1075,"Gold 2"
1685148966,"Saturday, May 27, 2023 12:56 AM",15,1090,"Gold 2"
1685151154,"Saturday, May 27, 2023 1:32 AM",-13,1077,"Gold 2"
1685154203,"Saturday, May 27, 2023 2:23 AM",-13,1064,"Gold 2"
1685368385,"Monday, May 29, 2023 1:53 PM",12,1076,"Gold 2"
1685370881,"Monday, May 29, 2023 2:34 PM",-24,1052,"Gold 2"
1685372605,"Monday, May 29, 2023 3:03 PM",-13,1039,"Gold 2"
1685461618,"Tuesday, May 30, 2023 3:46 PM",-19,1020,"Gold 2"
1685465155,"Tuesday, May 30, 2023 4:45 PM",19,1036,"Gold 2"
1685481543,"Tuesday, May 30, 2023 9:19 PM",-19,1017,"Gold 2"
1685484343,"Tuesday, May 30, 2023 10:05 PM",-15,1002,"Gold 2"
1685492203,"Wednesday, May 31, 2023 12:16 AM",31,1033,"Gold 2"
1685494409,"Wednesday, May 31, 2023 12:53 AM",-21,1012,"Gold 2"
