timeraw,date,change,elo,rank
1681875420,"Wednesday, April 19, 2023 3:36 AM",21,1847,"Ascendant 1"
1681877612,"Wednesday, April 19, 2023 4:13 AM",-20,1827,"Ascendant 1"
1681930951,"Wednesday, April 19, 2023 7:02 PM",17,1844,"Ascendant 1"
1681948486,"Wednesday, April 19, 2023 11:54 PM",18,1862,"Ascendant 1"
1681951364,"Thursday, April 20, 2023 12:42 AM",18,1880,"Ascendant 1"
1681970926,"Thursday, April 20, 2023 6:08 AM",20,1897,"Ascendant 1"
1681972719,"Thursday, April 20, 2023 6:38 AM",-21,1876,"Ascendant 1"
1682147542,"Saturday, April 22, 2023 7:12 AM",-18,1858,"Ascendant 1"
1682150172,"Saturday, April 22, 2023 7:56 AM",-20,1838,"Ascendant 1"
1682209029,"Sunday, April 23, 2023 12:17 AM",-14,1824,"Ascendant 1"
1684473333,"Friday, May 19, 2023 5:15 AM",-18,1806,"Ascendant 1"
1684475519,"Friday, May 19, 2023 5:51 AM",-22,1800,"Ascendant 1"
1684476248,"Friday, May 19, 2023 6:04 AM",-18,1782,"Diamond 3"
1684478530,"Friday, May 19, 2023 6:42 AM",-18,1764,"Diamond 3"
1684480603,"Friday, May 19, 2023 7:16 AM",-15,1749,"Diamond 3"
