timeraw,date,change,elo,rank
1680041927,"Wednesday, March 29, 2023 12:18 AM",-18,1510,"Diamond 1"
1680044346,"Wednesday, March 29, 2023 12:59 AM",17,1527,"Diamond 1"
1680119314,"Wednesday, March 29, 2023 9:48 PM",-16,1511,"Diamond 1"
1680149787,"Thursday, March 30, 2023 6:16 AM",19,1530,"Diamond 1"
1680151960,"Thursday, March 30, 2023 6:52 AM",-21,1509,"Diamond 1"
1680154822,"Thursday, March 30, 2023 7:40 AM",17,1526,"Diamond 1"
1680157138,"Thursday, March 30, 2023 8:18 AM",20,1546,"Diamond 1"
1680159033,"Thursday, March 30, 2023 8:50 AM",16,1562,"Diamond 1"
1680161593,"Thursday, March 30, 2023 9:33 AM",18,1577,"Diamond 1"
1680164031,"Thursday, March 30, 2023 10:13 AM",18,1595,"Diamond 1"
1680165994,"Thursday, March 30, 2023 10:46 AM",-19,1576,"Diamond 1"
1680244830,"Friday, March 31, 2023 8:40 AM",-14,1562,"Diamond 1"
1680246989,"Friday, March 31, 2023 9:16 AM",-17,1545,"Diamond 1"
1680249907,"Friday, March 31, 2023 10:05 AM",-14,1531,"Diamond 1"
1680472366,"Sunday, April 2, 2023 11:52 PM",22,1553,"Diamond 1"
1680658351,"Wednesday, April 5, 2023 3:32 AM",-22,1531,"Diamond 1"
1680660524,"Wednesday, April 5, 2023 4:08 AM",-18,1513,"Diamond 1"
1680663397,"Wednesday, April 5, 2023 4:56 AM",-19,1500,"Diamond 1"
1680665515,"Wednesday, April 5, 2023 5:31 AM",-21,1479,"Platinum 3"
1680739469,"Thursday, April 6, 2023 2:04 AM",14,1493,"Platinum 3"
1680744616,"Thursday, April 6, 2023 3:30 AM",21,1514,"Diamond 1"
1680764133,"Thursday, April 6, 2023 8:55 AM",18,1532,"Diamond 1"
1680766694,"Thursday, April 6, 2023 9:38 AM",19,1551,"Diamond 1"
1680769222,"Thursday, April 6, 2023 10:20 AM",-20,1531,"Diamond 1"
1680831429,"Friday, April 7, 2023 3:37 AM",-14,1517,"Diamond 1"
1680834343,"Friday, April 7, 2023 4:25 AM",-13,1504,"Diamond 1"
1680838036,"Friday, April 7, 2023 5:27 AM",-11,1500,"Diamond 1"
1680840995,"Friday, April 7, 2023 6:16 AM",15,1515,"Diamond 1"
1680911731,"Saturday, April 8, 2023 1:55 AM",10,1525,"Diamond 1"
1681012630,"Sunday, April 9, 2023 5:57 AM",19,1544,"Diamond 1"
1681015717,"Sunday, April 9, 2023 6:48 AM",17,1561,"Diamond 1"
1681283540,"Wednesday, April 12, 2023 9:12 AM",-24,1537,"Diamond 1"
1681285138,"Wednesday, April 12, 2023 9:38 AM",-22,1515,"Diamond 1"
1681286699,"Wednesday, April 12, 2023 10:04 AM",27,1542,"Diamond 1"
1681433883,"Friday, April 14, 2023 2:58 AM",-23,1519,"Diamond 1"
1681441068,"Friday, April 14, 2023 4:57 AM",-22,1500,"Diamond 1"
1681537023,"Saturday, April 15, 2023 7:37 AM",-17,1483,"Platinum 3"
1681539066,"Saturday, April 15, 2023 8:11 AM",-27,1456,"Platinum 3"
1681541140,"Saturday, April 15, 2023 8:45 AM",-18,1438,"Platinum 3"
1681622341,"Sunday, April 16, 2023 7:19 AM",27,1465,"Platinum 3"
1681624695,"Sunday, April 16, 2023 7:58 AM",15,1480,"Platinum 3"
1681628019,"Sunday, April 16, 2023 8:53 AM",20,1510,"Diamond 1"
1681630474,"Sunday, April 16, 2023 9:34 AM",18,1528,"Diamond 1"
1681690437,"Monday, April 17, 2023 12:13 AM",17,1545,"Diamond 1"
1681693040,"Monday, April 17, 2023 12:57 AM",20,1565,"Diamond 1"
1681694582,"Monday, April 17, 2023 1:23 AM",21,1586,"Diamond 1"
1681697055,"Monday, April 17, 2023 2:04 AM",-21,1565,"Diamond 1"
1681699351,"Monday, April 17, 2023 2:42 AM",16,1581,"Diamond 1"
1681701759,"Monday, April 17, 2023 3:22 AM",15,1596,"Diamond 1"
1681704728,"Monday, April 17, 2023 4:12 AM",22,1618,"Diamond 2"
1681706586,"Monday, April 17, 2023 4:43 AM",20,1638,"Diamond 2"
1681708342,"Monday, April 17, 2023 5:12 AM",20,1658,"Diamond 2"
1681710182,"Monday, April 17, 2023 5:43 AM",-18,1640,"Diamond 2"
1681866570,"Wednesday, April 19, 2023 1:09 AM",-20,1620,"Diamond 2"
1681869360,"Wednesday, April 19, 2023 1:56 AM",21,1641,"Diamond 2"
1681871199,"Wednesday, April 19, 2023 2:26 AM",13,1654,"Diamond 2"
1681874875,"Wednesday, April 19, 2023 3:27 AM",-18,1636,"Diamond 2"
1681877865,"Wednesday, April 19, 2023 4:17 AM",22,1658,"Diamond 2"
1681880159,"Wednesday, April 19, 2023 4:55 AM",18,1676,"Diamond 2"
1681881860,"Wednesday, April 19, 2023 5:24 AM",15,1691,"Diamond 2"
1681884711,"Wednesday, April 19, 2023 6:11 AM",-23,1668,"Diamond 2"
1681888190,"Wednesday, April 19, 2023 7:09 AM",16,1684,"Diamond 2"
1681890510,"Wednesday, April 19, 2023 7:48 AM",-19,1665,"Diamond 2"
1681960583,"Thursday, April 20, 2023 3:16 AM",20,1685,"Diamond 2"
1681962159,"Thursday, April 20, 2023 3:42 AM",18,1710,"Diamond 3"
1681964645,"Thursday, April 20, 2023 4:24 AM",25,1735,"Diamond 3"
1681967056,"Thursday, April 20, 2023 5:04 AM",22,1757,"Diamond 3"
1681969035,"Thursday, April 20, 2023 5:37 AM",16,1773,"Diamond 3"
1681972719,"Thursday, April 20, 2023 6:38 AM",-20,1753,"Diamond 3"
1682131797,"Saturday, April 22, 2023 2:49 AM",17,1770,"Diamond 3"
1682221604,"Sunday, April 23, 2023 3:46 AM",-21,1749,"Diamond 3"
1682223293,"Sunday, April 23, 2023 4:14 AM",-18,1731,"Diamond 3"
