timeraw,date,change,elo,rank
1680048896,"Wednesday, March 29, 2023 2:14 AM",19,1283,"Platinum 1"
1680052310,"Wednesday, March 29, 2023 3:11 AM",-20,1263,"Platinum 1"
1680059106,"Wednesday, March 29, 2023 5:05 AM",-18,1245,"Platinum 1"
1680140258,"Thursday, March 30, 2023 3:37 AM",-22,1223,"Platinum 1"
1680142805,"Thursday, March 30, 2023 4:20 AM",-15,1208,"Platinum 1"
1680145373,"Thursday, March 30, 2023 5:02 AM",-20,1200,"Platinum 1"
1680219598,"Friday, March 31, 2023 1:39 AM",-21,1179,"Gold 3"
1680226052,"Friday, March 31, 2023 3:27 AM",28,1210,"Platinum 1"
1680281048,"Friday, March 31, 2023 6:44 PM",-20,1200,"Platinum 1"
1680283877,"Friday, March 31, 2023 7:31 PM",25,1225,"Platinum 1"
1680286008,"Friday, March 31, 2023 8:06 PM",15,1240,"Platinum 1"
1680462721,"Sunday, April 2, 2023 9:12 PM",24,1264,"Platinum 1"
1680473714,"Monday, April 3, 2023 12:15 AM",-23,1241,"Platinum 1"
1680484170,"Monday, April 3, 2023 3:09 AM",15,1256,"Platinum 1"
1680658428,"Wednesday, April 5, 2023 3:33 AM",26,1282,"Platinum 1"
1680739754,"Thursday, April 6, 2023 2:09 AM",27,1310,"Platinum 2"
1680834968,"Friday, April 7, 2023 4:36 AM",-14,1300,"Platinum 2"
1680973549,"Saturday, April 8, 2023 7:05 PM",17,1317,"Platinum 2"
1680989651,"Saturday, April 8, 2023 11:34 PM",26,1343,"Platinum 2"
1680992040,"Sunday, April 9, 2023 12:14 AM",-16,1327,"Platinum 2"
1681250233,"Tuesday, April 11, 2023 11:57 PM",-18,1309,"Platinum 2"
1681441099,"Friday, April 14, 2023 4:58 AM",-27,1300,"Platinum 2"
1681498878,"Friday, April 14, 2023 9:01 PM",-14,1286,"Platinum 1"
1681501611,"Friday, April 14, 2023 9:46 PM",19,1310,"Platinum 2"
1681523391,"Saturday, April 15, 2023 3:49 AM",13,1323,"Platinum 2"
1681526011,"Saturday, April 15, 2023 4:33 AM",-17,1306,"Platinum 2"
1681595865,"Saturday, April 15, 2023 11:57 PM",-20,1300,"Platinum 2"
1681599084,"Sunday, April 16, 2023 12:51 AM",20,1320,"Platinum 2"
1681785681,"Tuesday, April 18, 2023 2:41 AM",-21,1300,"Platinum 2"
1682094777,"Friday, April 21, 2023 4:32 PM",-14,1286,"Platinum 1"
1682100047,"Friday, April 21, 2023 6:00 PM",18,1310,"Platinum 2"
1682174532,"Saturday, April 22, 2023 2:42 PM",22,1332,"Platinum 2"
1682190605,"Saturday, April 22, 2023 7:10 PM",18,1350,"Platinum 2"
1682194323,"Saturday, April 22, 2023 8:12 PM",16,1366,"Platinum 2"
1682195587,"Saturday, April 22, 2023 8:33 PM",-23,1343,"Platinum 2"
1682197284,"Saturday, April 22, 2023 9:01 PM",14,1357,"Platinum 2"
1682209029,"Sunday, April 23, 2023 12:17 AM",-10,1347,"Platinum 2"
1682448134,"Tuesday, April 25, 2023 6:42 PM",20,1367,"Platinum 2"
1682450882,"Tuesday, April 25, 2023 7:28 PM",-20,1347,"Platinum 2"
1682456287,"Tuesday, April 25, 2023 8:58 PM",-16,1331,"Platinum 2"
1682459533,"Tuesday, April 25, 2023 9:52 PM",17,1348,"Platinum 2"
1682469235,"Wednesday, April 26, 2023 12:33 AM",16,1364,"Platinum 2"
1682523213,"Wednesday, April 26, 2023 3:33 PM",17,1381,"Platinum 2"
1682526187,"Wednesday, April 26, 2023 4:23 PM",-17,1364,"Platinum 2"
1682528300,"Wednesday, April 26, 2023 4:58 PM",-22,1342,"Platinum 2"
1682531660,"Wednesday, April 26, 2023 5:54 PM",-15,1327,"Platinum 2"
1682536969,"Wednesday, April 26, 2023 7:22 PM",-19,1308,"Platinum 2"
1682885736,"Sunday, April 30, 2023 8:15 PM",14,1322,"Platinum 2"
1682888144,"Sunday, April 30, 2023 8:55 PM",-12,1310,"Platinum 2"
1682891047,"Sunday, April 30, 2023 9:44 PM",-17,1300,"Platinum 2"
1682899472,"Monday, May 1, 2023 12:04 AM",18,1318,"Platinum 2"
1682901865,"Monday, May 1, 2023 12:44 AM",-20,1300,"Platinum 2"
1682946709,"Monday, May 1, 2023 1:11 PM",18,1318,"Platinum 2"
1682949110,"Monday, May 1, 2023 1:51 PM",21,1339,"Platinum 2"
1682978475,"Monday, May 1, 2023 10:01 PM",-18,1321,"Platinum 2"
1683074300,"Wednesday, May 3, 2023 12:38 AM",13,1334,"Platinum 2"
1683076820,"Wednesday, May 3, 2023 1:20 AM",23,1357,"Platinum 2"
1683148979,"Wednesday, May 3, 2023 9:22 PM",16,1373,"Platinum 2"
1683166044,"Thursday, May 4, 2023 2:07 AM",18,1391,"Platinum 2"
1683233468,"Thursday, May 4, 2023 8:51 PM",20,1411,"Platinum 3"
1683241505,"Thursday, May 4, 2023 11:05 PM",22,1433,"Platinum 3"
1683243333,"Thursday, May 4, 2023 11:35 PM",22,1455,"Platinum 3"
1683246457,"Friday, May 5, 2023 12:27 AM",-21,1434,"Platinum 3"
1683504382,"Monday, May 8, 2023 12:06 AM",18,1452,"Platinum 3"
1683504382,"Monday, May 8, 2023 12:06 AM",18,1452,"Platinum 3"
1683572579,"Monday, May 8, 2023 7:02 PM",-22,1430,"Platinum 3"
1683575129,"Monday, May 8, 2023 7:45 PM",-19,1411,"Platinum 3"
1683579785,"Monday, May 8, 2023 9:03 PM",-14,1400,"Platinum 3"
1683582431,"Monday, May 8, 2023 9:47 PM",13,1413,"Platinum 3"
1683687511,"Wednesday, May 10, 2023 2:58 AM",-18,1400,"Platinum 3"
1683760193,"Wednesday, May 10, 2023 11:09 PM",-16,1384,"Platinum 2"
1683762828,"Wednesday, May 10, 2023 11:53 PM",-18,1366,"Platinum 2"
1683770058,"Thursday, May 11, 2023 1:54 AM",23,1389,"Platinum 2"
1683843409,"Thursday, May 11, 2023 10:16 PM",-19,1370,"Platinum 2"
1684118157,"Monday, May 15, 2023 2:35 AM",-13,1357,"Platinum 2"
1684281718,"Wednesday, May 17, 2023 12:01 AM",21,1378,"Platinum 2"
1684285286,"Wednesday, May 17, 2023 1:01 AM",20,1398,"Platinum 2"
1684800384,"Tuesday, May 23, 2023 12:06 AM",-18,1380,"Platinum 2"
1684803420,"Tuesday, May 23, 2023 12:57 AM",12,1392,"Platinum 2"
1684806887,"Tuesday, May 23, 2023 1:54 AM",21,1413,"Platinum 3"
1685043246,"Thursday, May 25, 2023 7:34 PM",20,1433,"Platinum 3"
1685067286,"Friday, May 26, 2023 2:14 AM",16,1449,"Platinum 3"
1685203156,"Saturday, May 27, 2023 3:59 PM",-19,1430,"Platinum 3"
1685205175,"Saturday, May 27, 2023 4:32 PM",-26,1404,"Platinum 3"
1685209799,"Saturday, May 27, 2023 5:49 PM",-26,1400,"Platinum 3"
1685307018,"Sunday, May 28, 2023 8:50 PM",22,1422,"Platinum 3"
1685310261,"Sunday, May 28, 2023 9:44 PM",29,1451,"Platinum 3"
1685313666,"Sunday, May 28, 2023 10:41 PM",-15,1436,"Platinum 3"
1685316446,"Sunday, May 28, 2023 11:27 PM",17,1453,"Platinum 3"
1685364278,"Monday, May 29, 2023 12:44 PM",24,1477,"Platinum 3"
1685379010,"Monday, May 29, 2023 4:50 PM",13,1490,"Platinum 3"
1685396675,"Monday, May 29, 2023 9:44 PM",20,1510,"Diamond 1"
1685399159,"Monday, May 29, 2023 10:25 PM",26,1536,"Diamond 1"
1685407168,"Tuesday, May 30, 2023 12:39 AM",-22,1514,"Diamond 1"
1685463461,"Tuesday, May 30, 2023 4:17 PM",19,1533,"Diamond 1"
