timeraw,date,change,elo,rank
1680119314,"Wednesday, March 29, 2023 9:48 PM",-21,1723,"Diamond 3"
1680121342,"Wednesday, March 29, 2023 10:22 PM",20,1743,"Diamond 3"
1680123221,"Wednesday, March 29, 2023 10:53 PM",-23,1720,"Diamond 3"
1680185064,"Thursday, March 30, 2023 4:04 PM",21,1741,"Diamond 3"
1680195768,"Thursday, March 30, 2023 7:02 PM",23,1764,"Diamond 3"
1680199994,"Thursday, March 30, 2023 8:13 PM",20,1784,"Diamond 3"
1680232163,"Friday, March 31, 2023 5:09 AM",17,1810,"Ascendant 1"
1680302113,"Saturday, April 1, 2023 12:35 AM",-18,1800,"Ascendant 1"
1680304807,"Saturday, April 1, 2023 1:20 AM",-23,1777,"Diamond 3"
1680343607,"Saturday, April 1, 2023 12:06 PM",-16,1761,"Diamond 3"
1680345959,"Saturday, April 1, 2023 12:45 PM",20,1781,"Diamond 3"
1680350611,"Saturday, April 1, 2023 2:03 PM",19,1810,"Ascendant 1"
1680363769,"Saturday, April 1, 2023 5:42 PM",20,1830,"Ascendant 1"
1680373595,"Saturday, April 1, 2023 8:26 PM",16,1846,"Ascendant 1"
1680380104,"Saturday, April 1, 2023 10:15 PM",19,1865,"Ascendant 1"
1680384554,"Saturday, April 1, 2023 11:29 PM",17,1882,"Ascendant 1"
1680386740,"Sunday, April 2, 2023 12:05 AM",-25,1857,"Ascendant 1"
1680388657,"Sunday, April 2, 2023 12:37 AM",18,1875,"Ascendant 1"
1680391212,"Sunday, April 2, 2023 1:20 AM",-19,1856,"Ascendant 1"
1680468351,"Sunday, April 2, 2023 10:45 PM",19,1875,"Ascendant 1"
1680469778,"Sunday, April 2, 2023 11:09 PM",20,1895,"Ascendant 1"
1680472366,"Sunday, April 2, 2023 11:52 PM",17,1912,"Ascendant 2"
1680494745,"Monday, April 3, 2023 6:05 AM",15,1927,"Ascendant 2"
1680497399,"Monday, April 3, 2023 6:49 AM",15,1942,"Ascendant 2"
1680501257,"Monday, April 3, 2023 7:54 AM",19,1961,"Ascendant 2"
1680506231,"Monday, April 3, 2023 9:17 AM",-25,1936,"Ascendant 2"
1680508578,"Monday, April 3, 2023 9:56 AM",-20,1916,"Ascendant 2"
1680511102,"Monday, April 3, 2023 10:38 AM",-19,1900,"Ascendant 2"
1680547201,"Monday, April 3, 2023 8:40 PM",18,1918,"Ascendant 2"
1680549029,"Monday, April 3, 2023 9:10 PM",-22,1900,"Ascendant 2"
1680551889,"Monday, April 3, 2023 9:58 PM",-18,1882,"Ascendant 1"
1680554140,"Monday, April 3, 2023 10:35 PM",15,1897,"Ascendant 1"
1680606352,"Tuesday, April 4, 2023 1:05 PM",17,1914,"Ascendant 2"
1680619341,"Tuesday, April 4, 2023 4:42 PM",17,1931,"Ascendant 2"
1680623567,"Tuesday, April 4, 2023 5:52 PM",18,1949,"Ascendant 2"
1680625640,"Tuesday, April 4, 2023 6:27 PM",14,1963,"Ascendant 2"
1680632645,"Tuesday, April 4, 2023 8:24 PM",15,1978,"Ascendant 2"
1680637602,"Tuesday, April 4, 2023 9:46 PM",18,1996,"Ascendant 2"
1680639281,"Tuesday, April 4, 2023 10:14 PM",17,2013,"Ascendant 3"
1680655384,"Wednesday, April 5, 2023 2:43 AM",-20,2000,"Ascendant 3"
1680657432,"Wednesday, April 5, 2023 3:17 AM",-20,1980,"Ascendant 2"
1680744869,"Thursday, April 6, 2023 3:34 AM",-20,1960,"Ascendant 2"
1680760521,"Thursday, April 6, 2023 7:55 AM",-23,1937,"Ascendant 2"
1680773647,"Thursday, April 6, 2023 11:34 AM",-20,1917,"Ascendant 2"
1680776054,"Thursday, April 6, 2023 12:14 PM",19,1936,"Ascendant 2"
1680777896,"Thursday, April 6, 2023 12:44 PM",-21,1915,"Ascendant 2"
1680780412,"Thursday, April 6, 2023 1:26 PM",-19,1900,"Ascendant 2"
1680824343,"Friday, April 7, 2023 1:39 AM",18,1918,"Ascendant 2"
1680828185,"Friday, April 7, 2023 2:43 AM",17,1935,"Ascendant 2"
1680831429,"Friday, April 7, 2023 3:37 AM",-18,1917,"Ascendant 2"
1680838036,"Friday, April 7, 2023 5:27 AM",-14,1903,"Ascendant 2"
1680840995,"Friday, April 7, 2023 6:16 AM",14,1917,"Ascendant 2"
1680893637,"Friday, April 7, 2023 8:53 PM",-16,1901,"Ascendant 2"
1680895843,"Friday, April 7, 2023 9:30 PM",17,1918,"Ascendant 2"
1680911731,"Saturday, April 8, 2023 1:55 AM",12,1930,"Ascendant 2"
1681167343,"Tuesday, April 11, 2023 12:55 AM",18,1948,"Ascendant 2"
1681169482,"Tuesday, April 11, 2023 1:31 AM",-21,1927,"Ascendant 2"
1681238760,"Tuesday, April 11, 2023 8:46 PM",-16,1911,"Ascendant 2"
1681247640,"Tuesday, April 11, 2023 11:14 PM",-22,1900,"Ascendant 2"
1681292702,"Wednesday, April 12, 2023 11:45 AM",19,1919,"Ascendant 2"
1681295140,"Wednesday, April 12, 2023 12:25 PM",17,1936,"Ascendant 2"
1681300781,"Wednesday, April 12, 2023 1:59 PM",-20,1916,"Ascendant 2"
1681303392,"Wednesday, April 12, 2023 2:43 PM",16,1932,"Ascendant 2"
1681306492,"Wednesday, April 12, 2023 3:34 PM",-22,1910,"Ascendant 2"
1681318938,"Wednesday, April 12, 2023 7:02 PM",17,1927,"Ascendant 2"
1681506969,"Friday, April 14, 2023 11:16 PM",-18,1909,"Ascendant 2"
1681509427,"Friday, April 14, 2023 11:57 PM",-19,1900,"Ascendant 2"
1681589578,"Saturday, April 15, 2023 10:12 PM",17,1917,"Ascendant 2"
1681754249,"Monday, April 17, 2023 5:57 PM",16,1933,"Ascendant 2"
1681757010,"Monday, April 17, 2023 6:43 PM",-18,1915,"Ascendant 2"
1681857857,"Tuesday, April 18, 2023 10:44 PM",-22,1900,"Ascendant 2"
1681859569,"Tuesday, April 18, 2023 11:12 PM",17,1917,"Ascendant 2"
1681875420,"Wednesday, April 19, 2023 3:36 AM",22,1939,"Ascendant 2"
1681877612,"Wednesday, April 19, 2023 4:13 AM",-18,1921,"Ascendant 2"
1681920983,"Wednesday, April 19, 2023 4:16 PM",20,1941,"Ascendant 2"
1681922476,"Wednesday, April 19, 2023 4:41 PM",-21,1920,"Ascendant 2"
1681924980,"Wednesday, April 19, 2023 5:22 PM",-21,1900,"Ascendant 2"
1681928907,"Wednesday, April 19, 2023 6:28 PM",-20,1880,"Ascendant 1"
1681930951,"Wednesday, April 19, 2023 7:02 PM",16,1896,"Ascendant 1"
1681948486,"Wednesday, April 19, 2023 11:54 PM",17,1913,"Ascendant 2"
1681951364,"Thursday, April 20, 2023 12:42 AM",16,1929,"Ascendant 2"
1681961774,"Thursday, April 20, 2023 3:36 AM",14,1943,"Ascendant 2"
1681970926,"Thursday, April 20, 2023 6:08 AM",21,1964,"Ascendant 2"
1681972719,"Thursday, April 20, 2023 6:38 AM",-19,1945,"Ascendant 2"
1682014050,"Thursday, April 20, 2023 6:07 PM",-19,1926,"Ascendant 2"
1682077093,"Friday, April 21, 2023 11:38 AM",-19,1907,"Ascendant 2"
1682079070,"Friday, April 21, 2023 12:11 PM",15,1922,"Ascendant 2"
1682081747,"Friday, April 21, 2023 12:55 PM",-20,1902,"Ascendant 2"
1682109768,"Friday, April 21, 2023 8:42 PM",-17,1900,"Ascendant 2"
1682147542,"Saturday, April 22, 2023 7:12 AM",-21,1879,"Ascendant 1"
1682181071,"Saturday, April 22, 2023 4:31 PM",15,1894,"Ascendant 1"
