timeraw,date,change,elo,rank
1679765037,"Saturday, March 25, 2023 6:23 PM",30,1167,"Gold 3"
1679768349,"Saturday, March 25, 2023 7:19 PM",-13,1154,"Gold 3"
1679771621,"Saturday, March 25, 2023 8:13 PM",-18,1136,"Gold 3"
1680140031,"Thursday, March 30, 2023 3:33 AM",28,1164,"Gold 3"
1680142486,"Thursday, March 30, 2023 4:14 AM",15,1179,"Gold 3"
1680359218,"Saturday, April 1, 2023 4:26 PM",23,1210,"Platinum 1"
1681346627,"Thursday, April 13, 2023 2:43 AM",16,1226,"Platinum 1"
1681884102,"Wednesday, April 19, 2023 6:01 AM",-19,1207,"Platinum 1"
1681886725,"Wednesday, April 19, 2023 6:45 AM",-18,1200,"Platinum 1"
1682278257,"Sunday, April 23, 2023 7:30 PM",11,1211,"Platinum 1"
1682480541,"Wednesday, April 26, 2023 3:42 AM",-10,1201,"Platinum 1"
1682531660,"Wednesday, April 26, 2023 5:54 PM",-18,1200,"Platinum 1"
1682901865,"Monday, May 1, 2023 12:44 AM",-19,1181,"Gold 3"
1683058948,"Tuesday, May 2, 2023 8:22 PM",23,1210,"Platinum 1"
1684707060,"Sunday, May 21, 2023 10:11 PM",15,1225,"Platinum 1"
1684967240,"Wednesday, May 24, 2023 10:27 PM",-11,1214,"Platinum 1"
1684982078,"Thursday, May 25, 2023 2:34 AM",-23,1200,"Platinum 1"
1684983859,"Thursday, May 25, 2023 3:04 AM",15,1215,"Platinum 1"
1685022633,"Thursday, May 25, 2023 1:50 PM",-9,1206,"Platinum 1"
1685053939,"Thursday, May 25, 2023 10:32 PM",17,1223,"Platinum 1"
1685056540,"Thursday, May 25, 2023 11:15 PM",27,1250,"Platinum 1"
1685070335,"Friday, May 26, 2023 3:05 AM",-17,1233,"Platinum 1"
1685115539,"Friday, May 26, 2023 3:38 PM",27,1260,"Platinum 1"
1685117597,"Friday, May 26, 2023 4:13 PM",-22,1238,"Platinum 1"
1685399159,"Monday, May 29, 2023 10:25 PM",22,1260,"Platinum 1"
1685401882,"Monday, May 29, 2023 11:11 PM",-24,1236,"Platinum 1"
1685404164,"Monday, May 29, 2023 11:49 PM",-20,1216,"Platinum 1"
1685406141,"Tuesday, May 30, 2023 12:22 AM",-11,1205,"Platinum 1"
1685412329,"Tuesday, May 30, 2023 2:05 AM",-22,1200,"Platinum 1"
1685486160,"Tuesday, May 30, 2023 10:35 PM",16,1216,"Platinum 1"
1685492203,"Wednesday, May 31, 2023 12:16 AM",21,1237,"Platinum 1"
1685494409,"Wednesday, May 31, 2023 12:53 AM",-20,1217,"Platinum 1"
1685566319,"Wednesday, May 31, 2023 8:51 PM",19,1236,"Platinum 1"
