timeraw,date,change,elo,rank
1659329867,"Monday, August 1, 2022 4:57 AM",23,1797,"Diamond 3"
1659332082,"Monday, August 1, 2022 5:34 AM",21,1818,"Ascendant 1"
1660014026,"Tuesday, August 9, 2022 3:00 AM",-17,1801,"Ascendant 1"
1660016707,"Tuesday, August 9, 2022 3:45 AM",-14,1800,"Ascendant 1"
1672801116,"Wednesday, January 4, 2023 2:58 AM",-25,1775,"Diamond 3"
1684468957,"Friday, May 19, 2023 4:02 AM",0,1550,"Diamond 1"
1684471058,"Friday, May 19, 2023 4:37 AM",24,1574,"Diamond 1"
1684473333,"Friday, May 19, 2023 5:15 AM",-10,1564,"Diamond 1"
1684475519,"Friday, May 19, 2023 5:51 AM",-13,1551,"Diamond 1"
1684476248,"Friday, May 19, 2023 6:04 AM",-11,1540,"Diamond 1"
1684478530,"Friday, May 19, 2023 6:42 AM",-9,1531,"Diamond 1"
1684480603,"Friday, May 19, 2023 7:16 AM",-10,1521,"Diamond 1"
1685229404,"Saturday, May 27, 2023 11:16 PM",-13,1508,"Diamond 1"
1685231861,"Saturday, May 27, 2023 11:57 PM",23,1531,"Diamond 1"
1685234191,"Sunday, May 28, 2023 12:36 AM",-12,1519,"Diamond 1"
1685237893,"Sunday, May 28, 2023 1:38 AM",-16,1503,"Diamond 1"
1685239099,"Sunday, May 28, 2023 1:58 AM",-14,1500,"Diamond 1"
