timeraw,date,change,elo,rank
1679853190,"Sunday, March 26, 2023 7:53 PM",17,2017,"Ascendant 3"
1679950149,"Monday, March 27, 2023 10:49 PM",0,2017,"Ascendant 3"
1680136463,"Thursday, March 30, 2023 2:34 AM",-19,2000,"Ascendant 3"
1680195768,"Thursday, March 30, 2023 7:02 PM",17,2017,"Ascendant 3"
1680199994,"Thursday, March 30, 2023 8:13 PM",17,2034,"Ascendant 3"
1680363769,"Saturday, April 1, 2023 5:42 PM",16,2050,"Ascendant 3"
1680384554,"Saturday, April 1, 2023 11:29 PM",17,2067,"Ascendant 3"
1680386740,"Sunday, April 2, 2023 12:05 AM",-23,2044,"Ascendant 3"
1680388657,"Sunday, April 2, 2023 12:37 AM",19,2060,"Ascendant 3"
1680401788,"Sunday, April 2, 2023 4:16 AM",17,2077,"Ascendant 3"
1680449478,"Sunday, April 2, 2023 5:31 PM",-19,2058,"Ascendant 3"
1680465847,"Sunday, April 2, 2023 10:04 PM",17,2075,"Ascendant 3"
1680468351,"Sunday, April 2, 2023 10:45 PM",20,2095,"Ascendant 3"
1680469778,"Sunday, April 2, 2023 11:09 PM",19,2114,"Immortal 1"
1680529827,"Monday, April 3, 2023 3:50 PM",0,2114,"Immortal 1"
1680547201,"Monday, April 3, 2023 8:40 PM",19,2133,"Immortal 1"
1680549029,"Monday, April 3, 2023 9:10 PM",-23,2110,"Immortal 1"
1680623567,"Tuesday, April 4, 2023 5:52 PM",18,2128,"Immortal 1"
1680639281,"Tuesday, April 4, 2023 10:14 PM",20,2148,"Immortal 1"
1680657432,"Wednesday, April 5, 2023 3:17 AM",-21,2127,"Immortal 1"
1680727997,"Wednesday, April 5, 2023 10:53 PM",17,2144,"Immortal 1"
1680824343,"Friday, April 7, 2023 1:39 AM",18,2162,"Immortal 1"
1680828185,"Friday, April 7, 2023 2:43 AM",15,2174,"Immortal 1"
1680893637,"Friday, April 7, 2023 8:53 PM",-19,2155,"Immortal 1"
1681167343,"Tuesday, April 11, 2023 12:55 AM",16,2171,"Immortal 1"
1681169482,"Tuesday, April 11, 2023 1:31 AM",-19,2152,"Immortal 1"
1681214330,"Tuesday, April 11, 2023 1:58 PM",-21,2131,"Immortal 1"
1681506969,"Friday, April 14, 2023 11:16 PM",-17,2114,"Immortal 1"
1681509427,"Friday, April 14, 2023 11:57 PM",-23,2100,"Immortal 1"
1681554512,"Saturday, April 15, 2023 12:28 PM",17,2117,"Immortal 1"
1681642245,"Sunday, April 16, 2023 12:50 PM",19,2136,"Immortal 1"
1681741150,"Monday, April 17, 2023 2:19 PM",-20,2116,"Immortal 1"
1681754249,"Monday, April 17, 2023 5:57 PM",17,2133,"Immortal 1"
1681757010,"Monday, April 17, 2023 6:43 PM",-20,2113,"Immortal 1"
1681799641,"Tuesday, April 18, 2023 6:34 AM",17,2130,"Immortal 1"
1681928907,"Wednesday, April 19, 2023 6:28 PM",-22,2108,"Immortal 1"
1682063334,"Friday, April 21, 2023 7:48 AM",-21,2100,"Immortal 1"
1682077093,"Friday, April 21, 2023 11:38 AM",-19,2081,"Ascendant 3"
1682079070,"Friday, April 21, 2023 12:11 PM",17,2098,"Ascendant 3"
1682081747,"Friday, April 21, 2023 12:55 PM",-22,2076,"Ascendant 3"
