timeraw,date,change,elo,rank
1682271985,"Sunday, April 23, 2023 5:46 PM",14,1791,"Diamond 3"
1682274797,"Sunday, April 23, 2023 6:33 PM",14,1810,"Ascendant 1"
1682277094,"Sunday, April 23, 2023 7:11 PM",11,1821,"Ascendant 1"
1682293823,"Sunday, April 23, 2023 11:50 PM",13,1834,"Ascendant 1"
1682302736,"Monday, April 24, 2023 2:18 AM",18,1852,"Ascendant 1"
1682305234,"Monday, April 24, 2023 3:00 AM",-22,1830,"Ascendant 1"
1682365135,"Monday, April 24, 2023 7:38 PM",23,1853,"Ascendant 1"
1682385026,"Tuesday, April 25, 2023 1:10 AM",12,1865,"Ascendant 1"
1682461348,"Tuesday, April 25, 2023 10:22 PM",-14,1851,"Ascendant 1"
1682464321,"Tuesday, April 25, 2023 11:12 PM",11,1862,"Ascendant 1"
1682482128,"Wednesday, April 26, 2023 4:08 AM",20,1882,"Ascendant 1"
1682484037,"Wednesday, April 26, 2023 4:40 AM",19,1910,"Ascendant 2"
1682553397,"Wednesday, April 26, 2023 11:56 PM",-25,1900,"Ascendant 2"
1682555137,"Thursday, April 27, 2023 12:25 AM",-17,1883,"Ascendant 1"
1682642959,"Friday, April 28, 2023 12:49 AM",13,1896,"Ascendant 1"
1682790965,"Saturday, April 29, 2023 5:56 PM",-20,1876,"Ascendant 1"
1682952762,"Monday, May 1, 2023 2:52 PM",16,1892,"Ascendant 1"
1682963723,"Monday, May 1, 2023 5:55 PM",16,1910,"Ascendant 2"
1682965651,"Monday, May 1, 2023 6:27 PM",-19,1900,"Ascendant 2"
1682987579,"Tuesday, May 2, 2023 12:32 AM",-17,1883,"Ascendant 1"
1683149585,"Wednesday, May 3, 2023 9:33 PM",-19,1864,"Ascendant 1"
1683152122,"Wednesday, May 3, 2023 10:15 PM",-12,1852,"Ascendant 1"
1683350651,"Saturday, May 6, 2023 5:24 AM",-21,1831,"Ascendant 1"
1683422523,"Sunday, May 7, 2023 1:22 AM",-18,1813,"Ascendant 1"
1684381324,"Thursday, May 18, 2023 3:42 AM",19,1832,"Ascendant 1"
1684633118,"Sunday, May 21, 2023 1:38 AM",-20,1812,"Ascendant 1"
1685144950,"Friday, May 26, 2023 11:49 PM",-19,1800,"Ascendant 1"
1685304529,"Sunday, May 28, 2023 8:08 PM",21,1821,"Ascendant 1"
1685404491,"Monday, May 29, 2023 11:54 PM",16,1837,"Ascendant 1"
1685479353,"Tuesday, May 30, 2023 8:42 PM",11,1848,"Ascendant 1"
1685493993,"Wednesday, May 31, 2023 12:46 AM",20,1868,"Ascendant 1"
1685495857,"Wednesday, May 31, 2023 1:17 AM",-16,1852,"Ascendant 1"
