timeraw,date,player,change,elo,rank
1679765037,"Saturday, March 25, 2023 6:23 PM","Tigerfire77#SifS",30,1167,"Gold 3"
1679768349,"Saturday, March 25, 2023 7:19 PM","Tigerfire77#SifS",-13,1154,"Gold 3"
1679771621,"Saturday, March 25, 2023 8:13 PM","Tigerfire77#SifS",-18,1136,"Gold 3"
1680140031,"Thursday, March 30, 2023 3:33 AM","Tigerfire77#SifS",28,1164,"Gold 3"
1680142486,"Thursday, March 30, 2023 4:14 AM","Tigerfire77#SifS",15,1179,"Gold 3"
1680119314,"Wednesday, March 29, 2023 9:48 PM","S is for Salt#TF77",-21,1723,"Diamond 3"
1680121342,"Wednesday, March 29, 2023 10:22 PM","S is for Salt#TF77",20,1743,"Diamond 3"
1680123221,"Wednesday, March 29, 2023 10:53 PM","S is for Salt#TF77",-23,1720,"Diamond 3"
1680185064,"Thursday, March 30, 2023 4:04 PM","S is for Salt#TF77",21,1741,"Diamond 3"
1680195768,"Thursday, March 30, 2023 7:02 PM","S is for Salt#TF77",23,1764,"Diamond 3"
1680199994,"Thursday, March 30, 2023 8:13 PM","S is for Salt#TF77",20,1784,"Diamond 3"
1680232163,"Friday, March 31, 2023 5:09 AM","S is for Salt#TF77",17,1810,"Ascendant 1"
1680302113,"Saturday, April 1, 2023 12:35 AM","S is for Salt#TF77",-18,1800,"Ascendant 1"
1680304807,"Saturday, April 1, 2023 1:20 AM","S is for Salt#TF77",-23,1777,"Diamond 3"
1679886428,"Monday, March 27, 2023 5:07 AM","rin#jane",-18,703,"Silver 2"
1679968047,"Tuesday, March 28, 2023 3:47 AM","rin#jane",17,720,"Silver 2"
1679970296,"Tuesday, March 28, 2023 4:24 AM","rin#jane",26,746,"Silver 2"
1680140031,"Thursday, March 30, 2023 3:33 AM","rin#jane",21,767,"Silver 2"
1680142486,"Thursday, March 30, 2023 4:14 AM","rin#jane",13,780,"Silver 2"
1680322589,"Saturday, April 1, 2023 6:16 AM","rin#jane",-9,771,"Silver 2"
1680324969,"Saturday, April 1, 2023 6:56 AM","rin#jane",-23,748,"Silver 2"
1680048896,"Wednesday, March 29, 2023 2:14 AM","Raison163#NA1",19,1283,"Platinum 1"
1680052310,"Wednesday, March 29, 2023 3:11 AM","Raison163#NA1",-20,1263,"Platinum 1"
1680059106,"Wednesday, March 29, 2023 5:05 AM","Raison163#NA1",-18,1245,"Platinum 1"
1680140258,"Thursday, March 30, 2023 3:37 AM","Raison163#NA1",-22,1223,"Platinum 1"
1680142805,"Thursday, March 30, 2023 4:20 AM","Raison163#NA1",-15,1208,"Platinum 1"
1680145373,"Thursday, March 30, 2023 5:02 AM","Raison163#NA1",-20,1200,"Platinum 1"
