timeraw,date,change,elo,rank
1679589005,"Thursday, March 23, 2023 5:30 PM",-16,1000,"Gold 2"
1679884264,"Monday, March 27, 2023 4:31 AM",-23,977,"Gold 1"
1680059106,"Wednesday, March 29, 2023 5:05 AM",-15,962,"Gold 1"
1680140031,"Thursday, March 30, 2023 3:33 AM",10,972,"Gold 1"
1680142486,"Thursday, March 30, 2023 4:14 AM",24,996,"Gold 1"
1680202798,"Thursday, March 30, 2023 8:59 PM",-20,976,"Gold 1"
1680204520,"Thursday, March 30, 2023 9:28 PM",23,999,"Gold 1"
1680206775,"Thursday, March 30, 2023 10:06 PM",-20,979,"Gold 1"
1680209863,"Thursday, March 30, 2023 10:57 PM",-13,966,"Gold 1"
1680212049,"Thursday, March 30, 2023 11:34 PM",-21,945,"Gold 1"
1680626269,"Tuesday, April 4, 2023 6:37 PM",14,956,"Gold 1"
1680834968,"Friday, April 7, 2023 4:36 AM",-10,946,"Gold 1"
1680973549,"Saturday, April 8, 2023 7:05 PM",26,972,"Gold 1"
1681004369,"Sunday, April 9, 2023 3:39 AM",-21,951,"Gold 1"
1681305725,"Wednesday, April 12, 2023 3:22 PM",-30,921,"Gold 1"
1681309439,"Wednesday, April 12, 2023 4:23 PM",-8,913,"Gold 1"
1681312554,"Wednesday, April 12, 2023 5:15 PM",20,933,"Gold 1"
1681315329,"Wednesday, April 12, 2023 6:02 PM",10,943,"Gold 1"
1681523391,"Saturday, April 15, 2023 3:49 AM",36,979,"Gold 1"
1681526011,"Saturday, April 15, 2023 4:33 AM",-20,959,"Gold 1"
1681693145,"Monday, April 17, 2023 12:59 AM",0,959,"Gold 1"
1681951504,"Thursday, April 20, 2023 12:45 AM",18,977,"Gold 1"
1681959228,"Thursday, April 20, 2023 2:53 AM",16,993,"Gold 1"
1682133832,"Saturday, April 22, 2023 3:23 AM",-25,968,"Gold 1"
1682174532,"Saturday, April 22, 2023 2:42 PM",18,986,"Gold 1"
1682176547,"Saturday, April 22, 2023 3:15 PM",14,1010,"Gold 2"
1682448134,"Tuesday, April 25, 2023 6:42 PM",19,1029,"Gold 2"
1682450882,"Tuesday, April 25, 2023 7:28 PM",-15,1014,"Gold 2"
1682523213,"Wednesday, April 26, 2023 3:33 PM",22,1036,"Gold 2"
1682526187,"Wednesday, April 26, 2023 4:23 PM",-15,1021,"Gold 2"
1682528300,"Wednesday, April 26, 2023 4:58 PM",-17,1004,"Gold 2"
1682885736,"Sunday, April 30, 2023 8:15 PM",21,1025,"Gold 2"
1682888144,"Sunday, April 30, 2023 8:55 PM",-11,1014,"Gold 2"
1682891047,"Sunday, April 30, 2023 9:44 PM",-18,1000,"Gold 2"
1682901865,"Monday, May 1, 2023 12:44 AM",-18,982,"Gold 1"
1682946709,"Monday, May 1, 2023 1:11 PM",23,1010,"Gold 2"
1682949110,"Monday, May 1, 2023 1:51 PM",18,1028,"Gold 2"
1682951180,"Monday, May 1, 2023 2:26 PM",20,1048,"Gold 2"
1682954284,"Monday, May 1, 2023 3:18 PM",14,1062,"Gold 2"
1682956039,"Monday, May 1, 2023 3:47 PM",-18,1044,"Gold 2"
1682959466,"Monday, May 1, 2023 4:44 PM",24,1068,"Gold 2"
1682963922,"Monday, May 1, 2023 5:58 PM",17,1085,"Gold 2"
1682968061,"Monday, May 1, 2023 7:07 PM",-19,1066,"Gold 2"
1682970729,"Monday, May 1, 2023 7:52 PM",-21,1045,"Gold 2"
1682972595,"Monday, May 1, 2023 8:23 PM",17,1062,"Gold 2"
1682975165,"Monday, May 1, 2023 9:06 PM",19,1081,"Gold 2"
1682978475,"Monday, May 1, 2023 10:01 PM",-13,1068,"Gold 2"
1683080959,"Wednesday, May 3, 2023 2:29 AM",-21,1047,"Gold 2"
1683233468,"Thursday, May 4, 2023 8:51 PM",16,1063,"Gold 2"
1683235678,"Thursday, May 4, 2023 9:27 PM",-20,1043,"Gold 2"
1683241505,"Thursday, May 4, 2023 11:05 PM",25,1068,"Gold 2"
1683246457,"Friday, May 5, 2023 12:27 AM",-16,1052,"Gold 2"
1683248895,"Friday, May 5, 2023 1:08 AM",13,1065,"Gold 2"
1683251268,"Friday, May 5, 2023 1:47 AM",31,1096,"Gold 2"
1683253850,"Friday, May 5, 2023 2:30 AM",-24,1072,"Gold 2"
1683293047,"Friday, May 5, 2023 1:24 PM",22,1094,"Gold 2"
1683295485,"Friday, May 5, 2023 2:04 PM",-26,1068,"Gold 2"
1683297483,"Friday, May 5, 2023 2:38 PM",22,1090,"Gold 2"
1683314321,"Friday, May 5, 2023 7:18 PM",16,1110,"Gold 3"
1683316412,"Friday, May 5, 2023 7:53 PM",-15,1100,"Gold 3"
1683318828,"Friday, May 5, 2023 8:33 PM",-22,1078,"Gold 2"
1683320977,"Friday, May 5, 2023 9:09 PM",23,1110,"Gold 3"
1683323448,"Friday, May 5, 2023 9:50 PM",-21,1100,"Gold 3"
1683383885,"Saturday, May 6, 2023 2:38 PM",25,1125,"Gold 3"
1683387088,"Saturday, May 6, 2023 3:31 PM",16,1141,"Gold 3"
1683390216,"Saturday, May 6, 2023 4:23 PM",11,1152,"Gold 3"
1683393116,"Saturday, May 6, 2023 5:11 PM",-26,1126,"Gold 3"
1683402606,"Saturday, May 6, 2023 7:50 PM",19,1145,"Gold 3"
1683489273,"Sunday, May 7, 2023 7:54 PM",13,1158,"Gold 3"
1683492893,"Sunday, May 7, 2023 8:54 PM",-15,1143,"Gold 3"
1683496255,"Sunday, May 7, 2023 9:50 PM",19,1162,"Gold 3"
1683498359,"Sunday, May 7, 2023 10:25 PM",-21,1141,"Gold 3"
1683511480,"Monday, May 8, 2023 2:04 AM",-21,1120,"Gold 3"
1683513630,"Monday, May 8, 2023 2:40 AM",-15,1105,"Gold 3"
1683572713,"Monday, May 8, 2023 7:05 PM",-13,1100,"Gold 3"
1683575988,"Monday, May 8, 2023 7:59 PM",21,1121,"Gold 3"
1683577042,"Monday, May 8, 2023 8:17 PM",24,1145,"Gold 3"
1683579196,"Monday, May 8, 2023 8:53 PM",-14,1131,"Gold 3"
1683582369,"Monday, May 8, 2023 9:46 PM",-18,1113,"Gold 3"
1683673684,"Tuesday, May 9, 2023 11:08 PM",-16,1100,"Gold 3"
1683675930,"Tuesday, May 9, 2023 11:45 PM",18,1118,"Gold 3"
1683677985,"Wednesday, May 10, 2023 12:19 AM",19,1137,"Gold 3"
1683680660,"Wednesday, May 10, 2023 1:04 AM",19,1156,"Gold 3"
1683684163,"Wednesday, May 10, 2023 2:02 AM",-15,1141,"Gold 3"
1683687511,"Wednesday, May 10, 2023 2:58 AM",-21,1120,"Gold 3"
1683764472,"Thursday, May 11, 2023 12:21 AM",10,1130,"Gold 3"
1683768451,"Thursday, May 11, 2023 1:27 AM",-20,1110,"Gold 3"
1683822154,"Thursday, May 11, 2023 4:22 PM",-19,1100,"Gold 3"
1683834542,"Thursday, May 11, 2023 7:49 PM",15,1115,"Gold 3"
1683843409,"Thursday, May 11, 2023 10:16 PM",-16,1100,"Gold 3"
1683846060,"Thursday, May 11, 2023 11:01 PM",-11,1089,"Gold 2"
1683851383,"Friday, May 12, 2023 12:29 AM",-17,1072,"Gold 2"
1683904657,"Friday, May 12, 2023 3:17 PM",16,1088,"Gold 2"
1683907260,"Friday, May 12, 2023 4:01 PM",-18,1070,"Gold 2"
1683937347,"Saturday, May 13, 2023 12:22 AM",20,1090,"Gold 2"
1683940072,"Saturday, May 13, 2023 1:07 AM",-22,1068,"Gold 2"
1684018396,"Saturday, May 13, 2023 10:53 PM",-14,1054,"Gold 2"
1684032524,"Sunday, May 14, 2023 2:48 AM",28,1082,"Gold 2"
1684077898,"Sunday, May 14, 2023 3:24 PM",18,1110,"Gold 3"
1684084002,"Sunday, May 14, 2023 5:06 PM",-22,1100,"Gold 3"
1684085897,"Sunday, May 14, 2023 5:38 PM",-23,1077,"Gold 2"
1684109868,"Monday, May 15, 2023 12:17 AM",-17,1060,"Gold 2"
1684116278,"Monday, May 15, 2023 2:04 AM",-25,1035,"Gold 2"
1684118341,"Monday, May 15, 2023 2:39 AM",-20,1015,"Gold 2"
1684162962,"Monday, May 15, 2023 3:02 PM",15,1030,"Gold 2"
1684165744,"Monday, May 15, 2023 3:49 PM",17,1047,"Gold 2"
1684260170,"Tuesday, May 16, 2023 6:02 PM",-28,1019,"Gold 2"
1684281718,"Wednesday, May 17, 2023 12:01 AM",22,1041,"Gold 2"
1684285286,"Wednesday, May 17, 2023 1:01 AM",17,1058,"Gold 2"
1684444294,"Thursday, May 18, 2023 9:11 PM",11,1069,"Gold 2"
1684631783,"Sunday, May 21, 2023 1:16 AM",25,1091,"Gold 2"
1684633832,"Sunday, May 21, 2023 1:50 AM",25,1116,"Gold 3"
1684636431,"Sunday, May 21, 2023 2:33 AM",-15,1101,"Gold 3"
1684675993,"Sunday, May 21, 2023 1:33 PM",14,1115,"Gold 3"
1684678667,"Sunday, May 21, 2023 2:17 PM",17,1132,"Gold 3"
1684684490,"Sunday, May 21, 2023 3:54 PM",18,1150,"Gold 3"
1684686477,"Sunday, May 21, 2023 4:27 PM",17,1167,"Gold 3"
1684690619,"Sunday, May 21, 2023 5:36 PM",-19,1148,"Gold 3"
1684703751,"Sunday, May 21, 2023 9:15 PM",-16,1132,"Gold 3"
1684707060,"Sunday, May 21, 2023 10:11 PM",17,1149,"Gold 3"
1684796874,"Monday, May 22, 2023 11:07 PM",-17,1132,"Gold 3"
1684800384,"Tuesday, May 23, 2023 12:06 AM",-10,1122,"Gold 3"
1684803420,"Tuesday, May 23, 2023 12:57 AM",18,1140,"Gold 3"
1684806887,"Tuesday, May 23, 2023 1:54 AM",19,1159,"Gold 3"
1684891808,"Wednesday, May 24, 2023 1:30 AM",27,1186,"Gold 3"
1684951607,"Wednesday, May 24, 2023 6:06 PM",-27,1159,"Gold 3"
1684953827,"Wednesday, May 24, 2023 6:43 PM",-15,1144,"Gold 3"
1684957164,"Wednesday, May 24, 2023 7:39 PM",0,1144,"Gold 3"
1685070335,"Friday, May 26, 2023 3:05 AM",-14,1130,"Gold 3"
1685138506,"Friday, May 26, 2023 10:01 PM",28,1158,"Gold 3"
1685141158,"Friday, May 26, 2023 10:45 PM",17,1175,"Gold 3"
1685144161,"Friday, May 26, 2023 11:36 PM",-24,1151,"Gold 3"
1685146802,"Saturday, May 27, 2023 12:20 AM",-25,1126,"Gold 3"
1685150296,"Saturday, May 27, 2023 1:18 AM",-12,1114,"Gold 3"
1685484638,"Tuesday, May 30, 2023 10:10 PM",18,1132,"Gold 3"
1685486365,"Tuesday, May 30, 2023 10:39 PM",-20,1112,"Gold 3"
1685488967,"Tuesday, May 30, 2023 11:22 PM",13,1125,"Gold 3"
1685492203,"Wednesday, May 31, 2023 12:16 AM",28,1153,"Gold 3"
1685494409,"Wednesday, May 31, 2023 12:53 AM",-18,1135,"Gold 3"
1685534707,"Wednesday, May 31, 2023 12:05 PM",-19,1116,"Gold 3"
1685536957,"Wednesday, May 31, 2023 12:42 PM",-16,1100,"Gold 3"
1685539481,"Wednesday, May 31, 2023 1:24 PM",-13,1087,"Gold 2"
1685561266,"Wednesday, May 31, 2023 7:27 PM",25,1112,"Gold 3"
1685564445,"Wednesday, May 31, 2023 8:20 PM",14,1126,"Gold 3"
1685567281,"Wednesday, May 31, 2023 9:08 PM",-24,1102,"Gold 3"
