timeraw,date,change,elo,rank
1682638700,"Thursday, April 27, 2023 11:38 PM",18,1464,"Platinum 3"
1682643045,"Friday, April 28, 2023 12:50 AM",19,1483,"Platinum 3"
1682645721,"Friday, April 28, 2023 1:35 AM",24,1510,"Diamond 1"
1682647996,"Friday, April 28, 2023 2:13 AM",22,1532,"Diamond 1"
1682650693,"Friday, April 28, 2023 2:58 AM",-15,1517,"Diamond 1"
1682723414,"Friday, April 28, 2023 11:10 PM",-16,1501,"Diamond 1"
1682789356,"Saturday, April 29, 2023 5:29 PM",22,1523,"Diamond 1"
1682829893,"Sunday, April 30, 2023 4:44 AM",-21,1502,"Diamond 1"
1682894011,"Sunday, April 30, 2023 10:33 PM",-22,1500,"Diamond 1"
1682971010,"Monday, May 1, 2023 7:56 PM",-16,1484,"Platinum 3"
1682973644,"Monday, May 1, 2023 8:40 PM",-13,1471,"Platinum 3"
1682977125,"Monday, May 1, 2023 9:38 PM",-21,1450,"Platinum 3"
1682978982,"Monday, May 1, 2023 10:09 PM",20,1470,"Platinum 3"
1682981736,"Monday, May 1, 2023 10:55 PM",-22,1448,"Platinum 3"
1683071464,"Tuesday, May 2, 2023 11:51 PM",21,1469,"Platinum 3"
1683073587,"Wednesday, May 3, 2023 12:26 AM",-17,1452,"Platinum 3"
1683075897,"Wednesday, May 3, 2023 1:04 AM",25,1477,"Platinum 3"
1683165544,"Thursday, May 4, 2023 1:59 AM",-19,1458,"Platinum 3"
1683167430,"Thursday, May 4, 2023 2:30 AM",-21,1437,"Platinum 3"
1683602010,"Tuesday, May 9, 2023 3:13 AM",-27,1410,"Platinum 3"
1683604005,"Tuesday, May 9, 2023 3:46 AM",17,1427,"Platinum 3"
1683606790,"Tuesday, May 9, 2023 4:33 AM",21,1448,"Platinum 3"
1683609328,"Tuesday, May 9, 2023 5:15 AM",-21,1427,"Platinum 3"
1683611489,"Tuesday, May 9, 2023 5:51 AM",-21,1406,"Platinum 3"
1683745905,"Wednesday, May 10, 2023 7:11 PM",8,1414,"Platinum 3"
1683755426,"Wednesday, May 10, 2023 9:50 PM",-10,1404,"Platinum 3"
1683843814,"Thursday, May 11, 2023 10:23 PM",24,1428,"Platinum 3"
1683859566,"Friday, May 12, 2023 2:46 AM",-18,1410,"Platinum 3"
1683862075,"Friday, May 12, 2023 3:27 AM",-24,1400,"Platinum 3"
1683924984,"Friday, May 12, 2023 8:56 PM",-17,1383,"Platinum 2"
1683946582,"Saturday, May 13, 2023 2:56 AM",-22,1361,"Platinum 2"
1684100441,"Sunday, May 14, 2023 9:40 PM",14,1375,"Platinum 2"
1684107749,"Sunday, May 14, 2023 11:42 PM",2,1377,"Platinum 2"
1684364864,"Wednesday, May 17, 2023 11:07 PM",-16,1361,"Platinum 2"
1684366763,"Wednesday, May 17, 2023 11:39 PM",21,1382,"Platinum 2"
1684460930,"Friday, May 19, 2023 1:48 AM",-16,1366,"Platinum 2"
1684463447,"Friday, May 19, 2023 2:30 AM",1,1367,"Platinum 2"
1684468132,"Friday, May 19, 2023 3:48 AM",18,1385,"Platinum 2"
1684470371,"Friday, May 19, 2023 4:26 AM",-17,1368,"Platinum 2"
1684631537,"Sunday, May 21, 2023 1:12 AM",15,1383,"Platinum 2"
1684633631,"Sunday, May 21, 2023 1:47 AM",-19,1364,"Platinum 2"
1684636861,"Sunday, May 21, 2023 2:41 AM",28,1392,"Platinum 2"
1684638627,"Sunday, May 21, 2023 3:10 AM",17,1410,"Platinum 3"
1684719935,"Monday, May 22, 2023 1:45 AM",-15,1400,"Platinum 3"
1684739004,"Monday, May 22, 2023 7:03 AM",-21,1379,"Platinum 2"
1684741460,"Monday, May 22, 2023 7:44 AM",18,1397,"Platinum 2"
1684774971,"Monday, May 22, 2023 5:02 PM",14,1411,"Platinum 3"
1684779577,"Monday, May 22, 2023 6:19 PM",14,1425,"Platinum 3"
1684790392,"Monday, May 22, 2023 9:19 PM",17,1442,"Platinum 3"
1684799040,"Monday, May 22, 2023 11:44 PM",-17,1425,"Platinum 3"
1684800857,"Tuesday, May 23, 2023 12:14 AM",18,1443,"Platinum 3"
1684898429,"Wednesday, May 24, 2023 3:20 AM",-20,1423,"Platinum 3"
1685059980,"Friday, May 26, 2023 12:13 AM",26,1449,"Platinum 3"
1685062004,"Friday, May 26, 2023 12:46 AM",-21,1428,"Platinum 3"
1685063869,"Friday, May 26, 2023 1:17 AM",-20,1408,"Platinum 3"
1685149857,"Saturday, May 27, 2023 1:10 AM",-13,1400,"Platinum 3"
1685152334,"Saturday, May 27, 2023 1:52 AM",-13,1387,"Platinum 2"
1685230523,"Saturday, May 27, 2023 11:35 PM",-23,1364,"Platinum 2"
1685232908,"Sunday, May 28, 2023 12:15 AM",-18,1346,"Platinum 2"
1685254801,"Sunday, May 28, 2023 6:20 AM",-18,1328,"Platinum 2"
1685292301,"Sunday, May 28, 2023 4:45 PM",23,1351,"Platinum 2"
1685294482,"Sunday, May 28, 2023 5:21 PM",17,1368,"Platinum 2"
1685297017,"Sunday, May 28, 2023 6:03 PM",23,1391,"Platinum 2"
1685299009,"Sunday, May 28, 2023 6:36 PM",-18,1373,"Platinum 2"
1685301790,"Sunday, May 28, 2023 7:23 PM",19,1392,"Platinum 2"
1685304148,"Sunday, May 28, 2023 8:02 PM",15,1410,"Platinum 3"
1685381684,"Monday, May 29, 2023 5:34 PM",17,1427,"Platinum 3"
1685384139,"Monday, May 29, 2023 6:15 PM",-25,1402,"Platinum 3"
1685395833,"Monday, May 29, 2023 9:30 PM",18,1420,"Platinum 3"
1685405265,"Tuesday, May 30, 2023 12:07 AM",-17,1403,"Platinum 3"
1685410458,"Tuesday, May 30, 2023 1:34 AM",20,1423,"Platinum 3"
1685412923,"Tuesday, May 30, 2023 2:15 AM",-16,1407,"Platinum 3"
