timeraw,date,change,elo,rank
1680482350,"Monday, April 3, 2023 2:39 AM",-14,1515,"Diamond 1"
1680485550,"Monday, April 3, 2023 3:32 AM",18,1533,"Diamond 1"
1680835490,"Friday, April 7, 2023 4:44 AM",23,1556,"Diamond 1"
1680838036,"Friday, April 7, 2023 5:27 AM",-11,1545,"Diamond 1"
1680840995,"Friday, April 7, 2023 6:16 AM",17,1562,"Diamond 1"
1680898514,"Friday, April 7, 2023 10:15 PM",-15,1547,"Diamond 1"
1680901273,"Friday, April 7, 2023 11:01 PM",24,1571,"Diamond 1"
1680904703,"Friday, April 7, 2023 11:58 PM",-17,1554,"Diamond 1"
1680911731,"Saturday, April 8, 2023 1:55 AM",14,1568,"Diamond 1"
1682091443,"Friday, April 21, 2023 3:37 PM",15,1583,"Diamond 1"
1682094777,"Friday, April 21, 2023 4:32 PM",-17,1566,"Diamond 1"
1682209029,"Sunday, April 23, 2023 12:17 AM",-12,1554,"Diamond 1"
1682297483,"Monday, April 24, 2023 12:51 AM",33,1587,"Diamond 1"
1682299262,"Monday, April 24, 2023 1:21 AM",-17,1570,"Diamond 1"
1682390769,"Tuesday, April 25, 2023 2:46 AM",20,1590,"Diamond 1"
1682393349,"Tuesday, April 25, 2023 3:29 AM",15,1610,"Diamond 2"
1682557720,"Thursday, April 27, 2023 1:08 AM",-17,1600,"Diamond 2"
1682808742,"Saturday, April 29, 2023 10:52 PM",17,1617,"Diamond 2"
1683256854,"Friday, May 5, 2023 3:20 AM",14,1631,"Diamond 2"
1683259245,"Friday, May 5, 2023 4:00 AM",-13,1618,"Diamond 2"
1683414994,"Saturday, May 6, 2023 11:16 PM",-11,1607,"Diamond 2"
1683572579,"Monday, May 8, 2023 7:02 PM",-21,1600,"Diamond 2"
1683575129,"Monday, May 8, 2023 7:45 PM",-18,1582,"Diamond 1"
1683586040,"Monday, May 8, 2023 10:47 PM",-14,1568,"Diamond 1"
1684368995,"Thursday, May 18, 2023 12:16 AM",-19,1549,"Diamond 1"
1684372238,"Thursday, May 18, 2023 1:10 AM",-16,1533,"Diamond 1"
1684374779,"Thursday, May 18, 2023 1:52 AM",17,1550,"Diamond 1"
1684377323,"Thursday, May 18, 2023 2:35 AM",18,1568,"Diamond 1"
1684450844,"Thursday, May 18, 2023 11:00 PM",25,1593,"Diamond 1"
1684452988,"Thursday, May 18, 2023 11:36 PM",21,1614,"Diamond 2"
1684466050,"Friday, May 19, 2023 3:14 AM",17,1631,"Diamond 2"
1684542772,"Saturday, May 20, 2023 12:32 AM",-16,1615,"Diamond 2"
1684544760,"Saturday, May 20, 2023 1:06 AM",19,1634,"Diamond 2"
1684546965,"Saturday, May 20, 2023 1:42 AM",-16,1618,"Diamond 2"
1684804443,"Tuesday, May 23, 2023 1:14 AM",-14,1604,"Diamond 2"
1684872062,"Tuesday, May 23, 2023 8:01 PM",25,1629,"Diamond 2"
1684873774,"Tuesday, May 23, 2023 8:29 PM",-18,1611,"Diamond 2"
1684883097,"Tuesday, May 23, 2023 11:04 PM",26,1637,"Diamond 2"
1684885250,"Tuesday, May 23, 2023 11:40 PM",-18,1619,"Diamond 2"
1684887603,"Wednesday, May 24, 2023 12:20 AM",20,1639,"Diamond 2"
1684950301,"Wednesday, May 24, 2023 5:45 PM",-19,1620,"Diamond 2"
1684951896,"Wednesday, May 24, 2023 6:11 PM",-20,1600,"Diamond 2"
1684954750,"Wednesday, May 24, 2023 6:59 PM",-14,1586,"Diamond 1"
1684957705,"Wednesday, May 24, 2023 7:48 PM",21,1610,"Diamond 2"
1685063753,"Friday, May 26, 2023 1:15 AM",-15,1600,"Diamond 2"
1685067306,"Friday, May 26, 2023 2:15 AM",23,1623,"Diamond 2"
1685328004,"Monday, May 29, 2023 2:40 AM",-14,1609,"Diamond 2"
1685379010,"Monday, May 29, 2023 4:50 PM",14,1623,"Diamond 2"
1685407168,"Tuesday, May 30, 2023 12:39 AM",-17,1606,"Diamond 2"
1685409889,"Tuesday, May 30, 2023 1:24 AM",-19,1600,"Diamond 2"
1685498446,"Wednesday, May 31, 2023 2:00 AM",16,1616,"Diamond 2"
1685545297,"Wednesday, May 31, 2023 3:01 PM",-20,1600,"Diamond 2"
1685547653,"Wednesday, May 31, 2023 3:40 PM",-16,1584,"Diamond 1"
