timeraw,date,change,elo,rank
1679886428,"Monday, March 27, 2023 5:07 AM",-18,703,"Silver 2"
1679968047,"Tuesday, March 28, 2023 3:47 AM",17,720,"Silver 2"
1679970296,"Tuesday, March 28, 2023 4:24 AM",26,746,"Silver 2"
1680140031,"Thursday, March 30, 2023 3:33 AM",21,767,"Silver 2"
1680142486,"Thursday, March 30, 2023 4:14 AM",13,780,"Silver 2"
1680322589,"Saturday, April 1, 2023 6:16 AM",-9,771,"Silver 2"
1680324969,"Saturday, April 1, 2023 6:56 AM",-23,748,"Silver 2"
1680474903,"Monday, April 3, 2023 12:35 AM",-23,725,"Silver 2"
1681168477,"Tuesday, April 11, 2023 1:14 AM",10,735,"Silver 2"
1681174927,"Tuesday, April 11, 2023 3:02 AM",18,753,"Silver 2"
1681263504,"Wednesday, April 12, 2023 3:38 AM",-9,744,"Silver 2"
1681266117,"Wednesday, April 12, 2023 4:21 AM",30,774,"Silver 2"
1681351947,"Thursday, April 13, 2023 4:12 AM",21,795,"Silver 2"
1681354135,"Thursday, April 13, 2023 4:48 AM",-22,773,"Silver 2"
1681518916,"Saturday, April 15, 2023 2:35 AM",-13,760,"Silver 2"
1681521423,"Saturday, April 15, 2023 3:17 AM",-24,736,"Silver 2"
1681614947,"Sunday, April 16, 2023 5:15 AM",-7,729,"Silver 2"
1681959707,"Thursday, April 20, 2023 3:01 AM",-25,704,"Silver 2"
1682055196,"Friday, April 21, 2023 5:33 AM",25,729,"Silver 2"
1682059325,"Friday, April 21, 2023 6:42 AM",-9,720,"Silver 2"
1682287811,"Sunday, April 23, 2023 10:10 PM",10,730,"Silver 2"
1682291652,"Sunday, April 23, 2023 11:14 PM",17,747,"Silver 2"
1682305925,"Monday, April 24, 2023 3:12 AM",-18,729,"Silver 2"
1682564439,"Thursday, April 27, 2023 3:00 AM",22,751,"Silver 2"
1682647031,"Friday, April 28, 2023 1:57 AM",18,769,"Silver 2"
1683251904,"Friday, May 5, 2023 1:58 AM",22,791,"Silver 2"
1683255347,"Friday, May 5, 2023 2:55 AM",-16,775,"Silver 2"
1683346717,"Saturday, May 6, 2023 4:18 AM",11,786,"Silver 2"
1683348706,"Saturday, May 6, 2023 4:51 AM",24,810,"Silver 3"
1683430046,"Sunday, May 7, 2023 3:27 AM",-20,800,"Silver 3"
1683433345,"Sunday, May 7, 2023 4:22 AM",-12,788,"Silver 2"
1683435842,"Sunday, May 7, 2023 5:04 AM",-30,758,"Silver 2"
1683597694,"Tuesday, May 9, 2023 2:01 AM",-28,730,"Silver 2"
1683599560,"Tuesday, May 9, 2023 2:32 AM",19,749,"Silver 2"
1683852665,"Friday, May 12, 2023 12:51 AM",17,766,"Silver 2"
1683855061,"Friday, May 12, 2023 1:31 AM",-19,747,"Silver 2"
1684041026,"Sunday, May 14, 2023 5:10 AM",35,782,"Silver 2"
1684295817,"Wednesday, May 17, 2023 3:56 AM",11,793,"Silver 2"
1684376435,"Thursday, May 18, 2023 2:20 AM",19,812,"Silver 3"
1684380190,"Thursday, May 18, 2023 3:23 AM",22,834,"Silver 3"
1684463317,"Friday, May 19, 2023 2:28 AM",26,860,"Silver 3"
1684465604,"Friday, May 19, 2023 3:06 AM",21,881,"Silver 3"
1684545682,"Saturday, May 20, 2023 1:21 AM",21,910,"Gold 1"
1684549996,"Saturday, May 20, 2023 2:33 AM",14,924,"Gold 1"
1684631783,"Sunday, May 21, 2023 1:16 AM",17,941,"Gold 1"
1684633832,"Sunday, May 21, 2023 1:50 AM",30,971,"Gold 1"
1684636431,"Sunday, May 21, 2023 2:33 AM",-14,957,"Gold 1"
1684726600,"Monday, May 22, 2023 3:36 AM",26,983,"Gold 1"
1684729562,"Monday, May 22, 2023 4:26 AM",14,997,"Gold 1"
1684803834,"Tuesday, May 23, 2023 1:03 AM",-23,974,"Gold 1"
1684807261,"Tuesday, May 23, 2023 2:01 AM",21,995,"Gold 1"
1684809717,"Tuesday, May 23, 2023 2:41 AM",-17,978,"Gold 1"
1684894258,"Wednesday, May 24, 2023 2:10 AM",16,994,"Gold 1"
1684897086,"Wednesday, May 24, 2023 2:58 AM",-20,974,"Gold 1"
1685047771,"Thursday, May 25, 2023 8:49 PM",-41,933,"Gold 1"
1685254202,"Sunday, May 28, 2023 6:10 AM",22,955,"Gold 1"
1685256284,"Sunday, May 28, 2023 6:44 AM",-20,935,"Gold 1"
1685258607,"Sunday, May 28, 2023 7:23 AM",-22,913,"Gold 1"
