timeraw,date,change,elo,rank
1684633832,"Sunday, May 21, 2023 1:50 AM",27,1510,"Diamond 1"
1684779115,"Monday, May 22, 2023 6:11 PM",-21,1500,"Diamond 1"
1684780993,"Monday, May 22, 2023 6:43 PM",18,1518,"Diamond 1"
1684783048,"Monday, May 22, 2023 7:17 PM",-23,1500,"Diamond 1"
1684790057,"Monday, May 22, 2023 9:14 PM",21,1521,"Diamond 1"
1684855278,"Tuesday, May 23, 2023 3:21 PM",12,1533,"Diamond 1"
1684872062,"Tuesday, May 23, 2023 8:01 PM",18,1551,"Diamond 1"
1684873774,"Tuesday, May 23, 2023 8:29 PM",-17,1534,"Diamond 1"
1684880833,"Tuesday, May 23, 2023 10:27 PM",-13,1521,"Diamond 1"
1684954750,"Wednesday, May 24, 2023 6:59 PM",-17,1504,"Diamond 1"
1684957705,"Wednesday, May 24, 2023 7:48 PM",19,1523,"Diamond 1"
1685043246,"Thursday, May 25, 2023 7:34 PM",15,1538,"Diamond 1"
1685067286,"Friday, May 26, 2023 2:14 AM",21,1559,"Diamond 1"
1685396675,"Monday, May 29, 2023 9:44 PM",22,1581,"Diamond 1"
1685399159,"Monday, May 29, 2023 10:25 PM",28,1610,"Diamond 2"
1685407168,"Tuesday, May 30, 2023 12:39 AM",-18,1600,"Diamond 2"
